subject,trial,repeat,choice,rt,item_value_0,gaze_0,stimulus_0,item_value_1,gaze_1,stimulus_1,item_value_2,gaze_2,stimulus_2,item_value_3,gaze_3,stimulus_3,item_value_4,gaze_4,stimulus_4,item_value_5,gaze_5,stimulus_5,item_value_6,gaze_6,stimulus_6,item_value_7,gaze_7,stimulus_7,item_value_8,gaze_8,stimulus_8,setsize,rt_choice_indication,best_chosen,best_seen_chosen,longest_chosen,fixation_count,refixation_count,seen_items_count,fixation_onset_0,gaze_corrected_0,fixation_onset_1,gaze_corrected_1,fixation_onset_2,gaze_corrected_2,fixation_onset_3,gaze_corrected_3,fixation_onset_4,gaze_corrected_4,fixation_onset_5,gaze_corrected_5,fixation_onset_6,gaze_corrected_6,fixation_onset_7,gaze_corrected_7,fixation_onset_8,gaze_corrected_8,v,gamma,zeta,s,tau
2.0,5.0,0.0,4.0,3734.0,0.0,0.0,nr55.png,0.0,0.0,nr42.png,5.0,0.09628287420608518,nr4.png,6.0,0.08291025278857335,nr90.png,7.0,0.2415986936097137,nr97.png,6.0,0.236249645042709,nr62.png,5.0,0.04011786425253549,nr74.png,2.0,0.057056518048050474,nr14.png,0.0,0.0,nr2.png,9,826.2067820000002,1.0,1.0,1.0,8.0,2.0,6.0,2243.389614,0.0,2243.389614,0.0,2025.0,0.9890580236109572,439.0,0.10308195001614544,0.0,0.2415986936097137,701.0,0.34362264578889984,1613.0,0.14276884961496206,1439.0,0.15912686809006954,2243.389614,0.0,0.000479,0.56,1.07,0.0064,1.0
2.0,11.0,0.0,4.0,2519.0,3.0,0.05062957554088456,nr102.png,5.0,0.05928989767287798,nr52.png,0.0,0.0,nr80.png,5.0,0.17653733576755803,nr75.png,7.0,0.5062957554088456,nr3.png,0.0,0.0,nr9.png,0.0,0.0,nr42.png,0.0,0.0,nr109.png,0.0,0.0,nr97.png,9,1092.564327,1.0,1.0,1.0,7.0,3.0,4.0,904.0,0.07244312258580136,1112.0,0.09417003901127184,3002.197794,0.0,672.0,0.2274485030260912,0.0,0.5062957554088456,3002.197794,0.0,3002.197794,0.0,3002.197794,0.0,3002.197794,0.0,0.000479,0.56,1.07,0.0064,1.0
2.0,14.0,0.0,2.0,3439.0,3.0,0.04230832627024747,nr65.png,6.0,0.1183311000370984,nr21.png,7.0,0.07337850337496046,nr97.png,3.0,0.13617992518235905,nr83.png,3.0,0.1546898179255923,nr2.png,3.0,0.1064318832735913,nr39.png,0.0,0.0,nr121.png,2.0,0.08065024695265924,nr58.png,6.0,0.0832945173445497,nr20.png,9,1408.6569550000004,0.0,0.0,0.0,9.0,1.0,8.0,2141.0,0.14472938364727175,2329.0,0.5140655728633086,2551.0,0.4679504420499115,1665.0,0.3028500517848962,0.0,0.1546898179255923,659.0,0.1360711404026055,3025.409211000001,0.0,1361.0,0.14659856385522005,1051.0,0.1276331160713978,0.000479,0.56,1.07,0.0064,1.0
2.0,15.0,0.0,2.0,4221.0,2.0,0.05525474378251893,nr120.png,5.0,0.13159353453468325,nr125.png,6.0,0.095241729414605,nr90.png,3.0,0.07706582685456588,nr41.png,5.0,0.21011343359405224,nr99.png,0.0,0.0,nr27.png,5.0,0.08869840449299092,nr72.png,2.0,0.08579026008338465,nr19.png,0.0,0.0,nr69.png,9,727.5004359999998,0.0,0.0,1.0,8.0,1.0,7.0,836.0,0.07937771924729352,1042.0,0.21183278894071847,2256.0,0.5294051963492239,574.0,0.0973864137571146,0.0,0.21011343359405224,2750.895029,0.0,1568.0,0.20627358642826787,1890.0,0.27413330551360393,2750.895029,0.0,0.000479,0.56,1.07,0.0064,1.0
2.0,21.0,0.0,4.0,3127.0,5.0,0.1067308928454484,nr72.png,2.0,0.0777610790731124,nr19.png,5.0,0.0975825306015528,nr12.png,5.0,0.06137026338613283,nr81.png,5.0,0.28131213899978896,nr4.png,0.0,0.0,nr52.png,2.0,0.15857161222752333,nr95.png,0.0,0.0,nr63.png,0.0,0.0,nr10.png,9,1829.090124,1.0,1.0,0.0,8.0,2.0,6.0,652.0,0.14202957529020374,1008.0,0.12628291799103425,1270.0,0.18915039468686584,482.0,0.07518374305566349,0.0,0.28131213899978896,2623.420385000001,0.0,2086.0,0.7740681440656549,2623.420385000001,0.0,2623.420385000001,0.0,0.000479,0.56,1.07,0.0064,1.0
2.0,23.0,0.0,4.0,2796.0,5.0,0.13551094128032756,nr74.png,2.0,0.08130656476819652,nr8.png,3.0,0.0939542526210271,nr65.png,0.0,0.0,nr114.png,7.0,0.3974987610889608,nr96.png,5.0,0.09847128399703804,nr80.png,0.0,0.0,nr101.png,0.0,0.0,nr30.png,0.0,0.0,nr112.png,9,1238.665527,1.0,1.0,1.0,6.0,1.0,5.0,1597.0,0.4863471193817371,1359.0,0.21056488782907784,1097.0,0.18623918456003954,2213.843378,0.0,0.0,0.3974987610889608,831.0,0.1576461972976957,2213.843378,0.0,2213.843378,0.0,2213.843378,0.0,0.000479,0.56,1.07,0.0064,1.0
2.0,24.0,0.0,2.0,2863.0,2.0,0.06474652166539553,nr7.png,6.0,0.11627946748071033,nr44.png,7.0,0.1341177948783193,nr97.png,6.0,0.05946109132536322,nr90.png,2.0,0.3164651416094332,nr109.png,0.0,0.0,nr14.png,6.0,0.07399602476045201,nr92.png,0.0,0.0,nr51.png,0.0,0.0,nr84.png,9,1444.008692,1.0,1.0,0.0,7.0,1.0,6.0,1213.0,0.108037216744208,805.0,0.15840232206715987,1485.0,0.26326204501051353,563.0,0.07304632591577734,0.0,0.3164651416094332,3027.1896460000007,0.0,2097.0,0.24081110874889264,3027.1896460000007,0.0,3027.1896460000007,0.0,0.000479,0.56,1.07,0.0064,1.0
2.0,26.0,0.0,4.0,2115.0,5.0,0.04951172945834243,nr93.png,3.0,0.03412294868074951,nr63.png,0.0,0.0,nr29.png,4.0,0.07493667161262638,nr56.png,6.0,0.4462746425501946,nr1.png,0.0,0.0,nr81.png,5.0,0.10036161376691033,nr84.png,0.0,0.0,nr14.png,0.0,0.0,nr114.png,9,932.294393,1.0,1.0,1.0,8.0,3.0,5.0,591.0,0.061713191341635075,435.0,0.03993437177512207,2989.1906750000007,0.0,2577.0,0.5434378155206928,0.0,0.4462746425501946,2989.1906750000007,0.0,1729.0,0.23805921274572195,2989.1906750000007,0.0,2989.1906750000007,0.0,0.000479,0.56,1.07,0.0064,1.0
2.0,27.0,0.0,0.0,3309.0,7.0,0.15328713495078822,nr96.png,5.0,0.09742826373990776,nr111.png,0.0,0.0,nr124.png,2.0,0.20654791912860448,nr100.png,5.0,0.2702010514386775,nr28.png,0.0,0.0,nr101.png,0.0,0.0,nr41.png,0.0,0.0,nr52.png,2.0,0.033125609671568634,nr54.png,9,1517.4405619999998,1.0,1.0,0.0,5.0,0.0,5.0,782.0,0.3115123733671677,574.0,0.15534474387770958,1539.594305,0.0,1068.0,0.6743083973416514,0.0,0.2702010514386775,1539.594305,0.0,1539.594305,0.0,1539.594305,0.0,1488.0,0.9884811899297786,0.000479,0.56,1.07,0.0064,1.0
2.0,34.0,0.0,6.0,2734.0,5.0,0.06733675463414783,nr10.png,6.0,0.0964230450974188,nr20.png,0.0,0.0,nr41.png,5.0,0.08845419839515277,nr111.png,2.0,0.11395450784240405,nr50.png,6.0,0.11634516185308386,nr107.png,7.0,0.1012043531187784,nr96.png,2.0,0.07889158235243356,nr121.png,5.0,0.08686042905469958,nr11.png,9,1980.0353910000001,1.0,1.0,0.0,8.0,0.0,8.0,2320.0,0.8905354602657448,594.0,0.12631973686930675,2509.773465,0.0,2060.0,0.4935818078996726,0.0,0.11395450784240405,908.0,0.18229793811698589,1768.0,0.34242260202715674,1512.0,0.19844183769709692,1240.0,0.17168416730144856,0.000479,0.56,1.07,0.0064,1.0
2.0,35.0,0.0,8.0,3337.0,5.0,0.07549541287003171,nr81.png,5.0,0.12186267431776772,nr48.png,6.0,0.0814399335684594,nr62.png,2.0,0.033289315911195085,nr100.png,6.0,0.2092471285846548,nr85.png,0.0,0.0,nr10.png,7.0,0.1182959618987111,nr97.png,2.0,0.09214007082562924,nr29.png,5.0,0.014266849676226462,nr93.png,9,1527.012565,1.0,1.0,0.0,10.0,2.0,8.0,802.0,0.099124162974543,522.0,0.14424212746952414,1138.0,0.12306626389390105,3252.0,0.9960617940017402,0.0,0.2092471285846548,3364.442823,0.0,2788.0,0.6904414178125696,1764.0,0.19369639173920056,1652.0,0.028030132951189345,0.000479,0.56,1.07,0.0064,1.0
2.0,50.0,0.0,3.0,3014.0,5.0,0.034882794881842955,nr101.png,5.0,0.08172540515174634,nr48.png,5.0,0.1694307179975229,nr12.png,6.0,0.14077699363029478,nr60.png,2.0,0.09717350002799108,nr14.png,5.0,0.07225721796953183,nr111.png,5.0,0.06079572822264057,nr74.png,1.0,0.06428400771082488,nr30.png,0.0,0.0,nr49.png,9,1589.515131,1.0,1.0,0.0,11.0,3.0,8.0,3034.0,0.14293884013464567,2198.0,0.1806724663016753,702.0,0.2053487380891379,2626.0,0.4072248530305145,0.0,0.09717350002799108,560.0,0.08397424316879168,1776.0,0.10905320965636836,1450.0,0.10064601175742732,4013.4398770000003,0.0,0.000479,0.56,1.07,0.0064,1.0
2.0,57.0,0.0,4.0,3685.0,5.0,0.0043071822326183045,nr114.png,0.0,0.0,nr4.png,2.0,0.048994197896033216,nr113.png,3.0,0.0678381201637383,nr63.png,6.0,0.1496745825834861,nr27.png,2.0,0.4684060677972406,nr46.png,5.0,0.05222458457049695,nr98.png,0.0,0.0,nr19.png,0.0,0.0,nr9.png,9,1453.91176,0.0,0.0,0.0,8.0,2.0,6.0,3698.0,0.9566187735477534,3714.725576,0.0,844.0,0.06339860609511634,3396.0,0.7906488182172108,0.0,0.1496745825834861,596.0,0.5579202009276112,3162.0,0.3509879195458108,3714.725576,0.0,3714.725576,0.0,0.000479,0.56,1.07,0.0064,1.0
2.0,60.0,0.0,5.0,3963.0,5.0,0.1211222686608994,nr72.png,0.0,0.0,nr57.png,0.0,0.0,nr7.png,2.0,0.07976344521571424,nr18.png,2.0,0.2067941172259258,nr100.png,6.0,0.14377114816659606,nr44.png,5.0,0.04234355733673719,nr112.png,2.0,0.12210700255245145,nr8.png,0.0,0.0,nr30.png,9,1510.6200529999999,1.0,1.0,0.0,6.0,0.0,6.0,817.0,0.2026349877868063,2031.005551,0.0,2031.005551,0.0,599.0,0.11312805309090596,0.0,0.2067941172259258,1275.0,0.3862405502363833,1945.0,0.9999354576543584,1625.0,0.6108290869156126,2031.005551,0.0,0.000479,0.56,1.07,0.0064,1.0
