setsize,subject,trial,rt,rt_choice_indication,choice,best_chosen,best_seen_chosen,longest_chosen,fixation_count,refixation_count,seen_items_count,item_value_0,fixation_onset_0,gaze_0,stimulus_0,item_value_1,fixation_onset_1,gaze_1,stimulus_1,item_value_2,fixation_onset_2,gaze_2,stimulus_2,item_value_3,fixation_onset_3,gaze_3,stimulus_3,item_value_4,fixation_onset_4,gaze_4,stimulus_4,item_value_5,fixation_onset_5,gaze_5,stimulus_5,item_value_6,fixation_onset_6,gaze_6,stimulus_6,item_value_7,fixation_onset_7,gaze_7,stimulus_7,item_value_8,fixation_onset_8,gaze_8,stimulus_8,item_value_9,fixation_onset_9,gaze_9,stimulus_9,item_value_10,fixation_onset_10,gaze_10,stimulus_10,item_value_11,fixation_onset_11,gaze_11,stimulus_11,item_value_12,fixation_onset_12,gaze_12,stimulus_12,item_value_13,fixation_onset_13,gaze_13,stimulus_13,item_value_14,fixation_onset_14,gaze_14,stimulus_14,item_value_15,fixation_onset_15,gaze_15,stimulus_15
16,0,6,4442.0396789999995,1449.4128770000002,1,1.0,1.0,1.0,13.0,1.0,12.0,1.0,3203.0,0.05718093901790201,nr27.png,2.0,3501.0,0.11346139080717565,nr15.png,0.0,1513.0,0.09229994093440876,nr48.png,-2.0,1165.0,0.06843702937575674,nr21.png,0.0,2909.0,0.05718093901790201,nr41.png,0.0,437.0,0.030166322159050667,nr120.png,0.0,617.0,0.05943215708947296,nr99.png,0.0,925.0,0.045024361431418906,nr12.png,1.0,2397.0,0.10220530044932093,nr95.png,1.0,4442.0396789999995,0.0,nr31.png,0.0,77.0,0.07158873467595606,nr91.png,0.0,1873.0,0.021161449872766885,nr81.png,0.0,4442.0396789999995,0.0,nr121.png,0.0,4213.0,0.037370219988077685,nr60.png,0.0,4442.0396789999995,0.0,nr7.png,0.0,4442.0396789999995,0.0,nr79.png
16,0,8,5429.3428539999995,1335.3765959999996,4,1.0,1.0,0.0,13.0,1.0,12.0,2.0,3055.0,0.03057460257417739,nr63.png,-1.0,2707.0,0.053781831034095166,nr72.png,0.0,2507.0,0.028732759045612486,nr109.png,1.0,2271.0,0.02320722845991777,nr87.png,2.0,3341.0,0.058202255502650936,nr15.png,0.0,5429.3428539999995,0.0,nr4.png,-1.0,551.0,0.014366379522806243,nr80.png,0.0,5429.3428539999995,0.0,nr93.png,-1.0,3883.0,0.016944960462797108,nr102.png,1.0,845.0,0.12635046605955236,nr20.png,1.0,75.0,0.05157161879981728,nr27.png,0.0,5429.3428539999995,0.0,nr65.png,0.0,5429.3428539999995,0.0,nr53.png,1.0,4957.0,0.08509317101969853,nr114.png,0.0,4753.0,0.0265225468113346,nr41.png,1.0,4373.0,0.056728780679799015,nr88.png
16,0,15,6345.423638,1328.6129119999996,0,1.0,1.0,1.0,15.0,2.0,13.0,2.0,2169.0,0.1156739158603046,nr111.png,0.0,1809.0,0.04412628942899904,nr1.png,-1.0,5009.0,0.02395427140431376,nr19.png,0.0,5209.0,0.0469629794637204,nr92.png,1.0,2979.0,0.07596025537420548,nr11.png,0.0,3671.0,0.052951547314798834,nr29.png,1.0,4823.0,0.023639083622678053,nr97.png,0.0,5553.0,0.04318072608409191,nr50.png,1.0,4267.0,0.032464341508477865,nr85.png,0.0,583.0,0.04633260390044898,nr12.png,2.0,751.0,0.07406912868439124,nr100.png,0.0,6097.0,0.036876970451377764,nr124.png,0.0,6345.423638,0.0,nr90.png,0.0,6345.423638,0.0,nr4.png,1.0,6345.423638,0.0,nr98.png,-1.0,1067.0,0.012292323483792587,nr112.png
16,0,18,6919.351631,1155.653598,1,1.0,1.0,0.0,24.0,11.0,13.0,-1.0,1757.0,0.02803730903497423,nr102.png,2.0,1503.0,0.0881585490274963,nr100.png,-1.0,1315.0,0.044512841148309605,nr52.png,1.0,1117.0,0.05925410672339915,nr88.png,1.0,1991.0,0.09162708210398796,nr96.png,0.0,6919.351631,0.0,nr8.png,1.0,4629.0,0.03815386384140823,nr97.png,-3.0,889.0,0.02745922018889229,nr94.png,0.0,6919.351631,0.0,nr124.png,0.0,445.0,0.03728673057228532,nr60.png,0.0,75.0,0.06763639499158733,nr48.png,-1.0,607.0,0.07948721633626715,nr80.png,1.0,5627.0,0.10261077017954487,nr2.png,0.0,5975.0,0.03410724191883463,nr120.png,0.0,6919.351631,0.0,nr42.png,0.0,4219.0,0.024279731535441603,nr12.png
16,0,26,12236.290419,1330.940615,3,1.0,1.0,1.0,28.0,14.0,14.0,0.0,1235.0,0.02190206270225989,nr53.png,-1.0,1395.0,0.0380834373852728,nr52.png,0.0,1603.0,0.03612205863581669,nr89.png,1.0,1911.0,0.15503064532159336,nr11.png,0.0,3349.0,0.04805377936167469,nr107.png,0.0,2133.0,0.054264812068285706,nr1.png,0.0,2577.0,0.0315455082204191,nr91.png,0.0,2911.0,0.05606274258862047,nr99.png,0.0,12236.290419,0.0,nr45.png,-2.0,405.0,0.02827654363799225,nr56.png,0.0,75.0,0.04249653957154904,nr51.png,0.0,4385.0,0.05279377800619362,nr18.png,1.0,5643.0,0.034651024573724605,nr114.png,0.0,12236.290419,0.0,nr124.png,0.0,5229.0,0.041025505509456967,nr106.png,0.0,4877.0,0.04265998780067039,nr48.png
16,0,28,5358.738638999998,1219.5274920000004,8,1.0,1.0,0.0,19.0,4.0,15.0,1.0,2260.0,0.05635654588602153,nr96.png,0.0,2106.0,0.0526243243041658,nr55.png,0.0,3072.0,0.023886218123876674,nr92.png,1.0,2838.0,0.03657577150218616,nr98.png,1.0,5270.0,0.016421774960165208,nr2.png,2.0,602.0,0.10412898213377487,nr100.png,0.0,5358.738638999998,0.0,nr1.png,0.0,3248.0,0.045906325456825485,nr62.png,2.0,1230.0,0.08808042933179523,nr111.png,-1.0,1654.0,0.02164688517476324,nr112.png,1.0,76.0,0.014182442011051776,nr27.png,0.0,3762.0,0.03060421697121699,nr124.png,0.0,4668.0,0.027991661863917976,nr48.png,-2.0,4466.0,0.02985777265484584,nr56.png,1.0,4188.0,0.044040214665897616,nr88.png,-2.0,3542.0,0.07091221005525887,nr30.png
16,0,37,4771.406464,1496.13215,6,1.0,1.0,0.0,19.0,5.0,14.0,0.0,2330.0,0.07167697880706063,nr48.png,1.0,4771.406464,0.0,nr88.png,-3.0,3036.0,0.03772472568792664,nr94.png,2.0,3272.0,0.03856305292543612,nr39.png,0.0,2542.0,0.044431343588002485,nr54.png,0.0,4771.406464,0.0,nr90.png,2.0,426.0,0.12994072181396954,nr15.png,0.0,3500.0,0.039820543781700336,nr45.png,1.0,1994.0,0.02850312607532235,nr2.png,0.0,1854.0,0.022006089984623868,nr57.png,2.0,76.0,0.17227624730819832,nr100.png,0.0,3732.0,0.03646723483166242,nr69.png,0.0,4608.0,0.007964108756340068,nr14.png,0.0,4372.0,0.039820543781700336,nr113.png,2.0,4152.0,0.03772472568792664,nr63.png,1.0,3946.0,0.03185643502536027,nr31.png
16,0,40,4914.4331710000015,1327.780765,0,1.0,1.0,1.0,13.0,3.0,10.0,3.0,1162.0,0.09278791350564078,nr75.png,0.0,4914.4331710000015,0.0,nr45.png,0.0,4914.4331710000015,0.0,nr14.png,0.0,3924.0,0.060230750872082614,nr109.png,0.0,1946.0,0.00976714879006745,nr91.png,2.0,474.0,0.059823786339163125,nr100.png,0.0,4914.4331710000015,0.0,nr53.png,1.0,4914.4331710000015,0.0,nr9.png,1.0,4722.0,0.01261590052050379,nr46.png,0.0,4914.4331710000015,0.0,nr76.png,0.0,2390.0,0.04517306315406197,nr29.png,0.0,3674.0,0.00569750346087268,nr107.png,0.0,4914.4331710000015,0.0,nr121.png,0.0,2636.0,0.01994126211305438,nr58.png,-1.0,3424.0,0.01709251038261804,nr112.png,1.0,2906.0,0.03988252422610876,nr114.png
16,0,41,6038.590277000001,1276.795854,0,1.0,1.0,0.0,16.0,5.0,11.0,2.0,874.0,0.06723423537218402,nr100.png,0.0,6038.590277000001,0.0,nr48.png,0.0,1136.0,0.08180717308832243,nr99.png,-1.0,3826.0,0.030470687951925764,nr19.png,0.0,5370.0,0.021859406574207613,nr57.png,1.0,452.0,0.030801891081838,nr85.png,1.0,3392.0,0.022521812834032085,nr49.png,-1.0,4092.0,0.00496804694868355,nr125.png,0.0,6038.590277000001,0.0,nr41.png,0.0,6038.590277000001,0.0,nr4.png,-1.0,76.0,0.0344451255108726,nr52.png,0.0,4334.0,0.04239400062876628,nr55.png,-2.0,6038.590277000001,0.0,nr30.png,1.0,1948.0,0.07750153239946336,nr96.png,0.0,6038.590277000001,0.0,nr124.png,0.0,4630.0,0.02219060970411985,nr14.png
16,0,44,3807.329955,1279.630416,12,1.0,1.0,0.0,12.0,3.0,9.0,-1.0,1971.0,0.05830857914178336,nr80.png,0.0,1799.0,0.09875687278067813,nr74.png,1.0,1509.0,0.0625109992601101,nr31.png,0.0,935.0,0.07196644452634524,nr62.png,0.0,3807.329955,0.0,nr42.png,-2.0,3807.329955,0.0,nr56.png,-1.0,613.0,0.07249174704113608,nr72.png,0.0,3807.329955,0.0,nr48.png,0.0,3807.329955,0.0,nr51.png,2.0,409.0,0.10821231804691328,nr100.png,1.0,75.0,0.1329015362420828,nr11.png,0.0,3807.329955,0.0,nr55.png,3.0,2723.0,0.08352309985174372,nr75.png,0.0,3807.329955,0.0,nr65.png,-1.0,3807.329955,0.0,nr101.png,1.0,3653.0,0.04044829363889477,nr96.png
